abbrev_k, abbrev_v
Aa, AA
Abc, ABC
Ac, AC
Acc, ACC
Adnh, ADNH
Adt, ADT
Aic, AIC
Als, ALS
Alum, Aluminum
Amk, AMK
Apc, APC
Apl, APL
Apm, APM
Apt, APT
Asb, ASB
Asda, ASDA
Asl, ASL
Asp, ASP
Aspgulf, ASPGulf
Atc, ATC
Atmc, ATMC
Bc, BC
Bfc, BFC
Bhd, BHD
Bk, BK
Bl, BL
Bldconco, Building Construction Company
Bldg, Building
Bldgcleaning, Building Cleaning
Bldgmaintenance, Building Maintenance
Bldgmaterial, Building Material
Bldgs, Buildings
Bldn, Building
Bmc, BMC
Bmg, BMG
Bmw, BMW
Bp, BP
Br2, BR two
Brn, Bahrain
Bros, Brothers
Bsc, BSC
Bsd, BSD
Bsk, BSK
Bt, BT
Bvs, VBS
Bwv, BWV
C0, C zero
Ccc, CCC
Ccl, CCL
Cct, CCT
Cd, CD
Cgi, CGI
Cgm, CGM
Chem, Chemical
Clea, Clearing
Cli, CLI
Cma, CMA
Cmc, CMC
Cokg, and Company KG
Coll, Company LLC
Comm, Commercial
Conc, Concrete
Conslt, Consultants
Contllc, Contractors LLC
Contrav, Contractor
Corpn, Corporation
Cos, Companies
Cosgroup, Companies Group
Csc, CSC
Csi, CSI
Ctci, CTCI
Dat, DAT
Dcc, DCC
Dept, Department
Depts, Departments
Desain, Design
Dev, Development
Develop, Development
Devt, Development
Dfi, DFI
Dfs, DFS
Dgl, DGL
Dgw, DGW
Dis, Distribution
Distr, Distribution
Div, Division
Dld, DLD
Dm, DM
Dmc, Destination Management Company
Dmcco, Destination Management Company
Dmcest, Destination Management Company Establishment
Dms, Distribution Management System
Dmt, Development
Dpw, DPW
Dpworld, DP World
Dqe, DQE
Dra, DRA
Drec, DREC
Drh, DRH
Drs, Doctors
Drv, Driving
Dsa, DSA
Dsg, DSG
Dth, DTH
E4, E four
Ecu, ECU
Egyption, Egyptian
Elc, Electronics
Elctrcl, Electrical
Ele, Electrical
Elec, Electronics
Elecmachw, Electrical and Mechanical Works
Mech, Mechanical
Elect, Electrical
Electequipment, Electrical Equipment
Electequipt, Electrical Equipment
Electind, Electric Industrial
Electronice, Electronics
Eloct, Electrical
Em, EM
Emb, Embroidery (in Lima Tailoring Emb Workshop)
Emc, EMC
Emcc, EMCC
Engg, Engineering
Enggconstoffice, Engineering Construction Office
Engturning, Engineering Turning
Eoc, EOC
Ep, EP
Epfl, EPFL
Eqpts, Equipments
Equip, Equipment
Equipm, Equipment
Equipt, Equipment
Est, Establishment
Establ, Establishment
Estt, Establishment
Eta, ETA
Etc, ETC but only in ETC Ras Al Khour Main Number
Etd, Limited
Exch, Exchange
Exon, Exxon
Fag, FAG
Fal, FAL
Fh, FH
Fharmacy, Pharmacy
Fmc, FMC
Fs, FS
Ftv, FTV
Fwu, FWU
G2, G two
Gbl, GBL
Gfi, GFI
Gmc, GMC
Gmra, GMRA
Gov, Government
Gover, Government
Gprs, GPRS
Grocere, Grocery
Gs, GS
H2, H two
Hfc, HFC
Hhsh, Sheikh
Sukhm, Sheikh
Hlb, HLB
Hpr, HPR
Hrm, HRM
Hsbc, HSBC
Htm, HTM
Ibs, IBS
Ic, IC
Ica, ICA
Ids, IDS
Ie, IE
Ihs, IHS
Indllc, Industries LLC
Ins, Insurance
Inst, Installation
Int'l, International
Inv, Investment
Invst, Investment
invest,Investment
Ipc, IPC
Ipf, IPF
Irr, Irrigation
Isdn, ISDN
Ists, ISTS
Itr, ITR
Jfc, JFC
Jml, JML
Kdu, KDU
Kec, KEC
Klm, KLM
Kpmg, KPMG
Kyb, KYB
Ldc, LDC
Lg, LG
Llh, LLH
Lll, LLC
Lllc, LLC
Lm, LM
Lmt, Limited
Lp, LP
Lt, Limited
Mab, MAB
Mat, Materials
Matest, Materials Establishment
Mbda, MBDA
Mbs, MBS
Mdj, MDJ
Mfrs, Manufacturers
Mgr, Manager
Mi, MI
Mk, MK
Mkm, MKM
Mm, MM
Msa, MSA
Mssl, MSSL
Mtgco, Manufacturing Company
Nbm, NBM
Ncr, NCR
Nd8, ND eight
Neb, NEB
Nhk, NHK
Nktel, NK Tel
Npcc, NPCC
Nps, NPS
Nrs, NRS
Nrtc, NRTC
Nsyle, Nstyle
Nyc, NYC
O'rourke, O'Rourke
Off, Office
Oy, OY
Pa, PA
Pabx, PABX
Pharm, Pharmacy
Physiotheraphy, Physiotherapy
Plc, Place
Pme, PME
Pnv, PNV
Pricewaterhousecoopers, Price Waterhouse Coopers
Proj, Project
Pty, Proprietary
Pubest, Publishing Establishment
Publ, Public
Pwc, PWC
Rbs, RBS
Rdk, RDK
Ref,Refrigerator
Repshop, Repair Shop
Rfc, RFC
Rh, RH
Rj, RJ
Rkm, 
Rkn, RKN
Rmd, RMD
Rpac, R Pac
Sanitaryware, Sanitary Ware
Sbmh, SBMH
Sc, SC
Sdc, SDC
Sdn, SDN
Sds, SDS
Servest, Services Establishment
Sgb, SGB
Sgs, SGS
Singaportgulf, Singapore Gulf
Supar Market, Supermarket
Supermarkt, Supermarket
Supplest, Supplies
Surge, Surgery
Surgi, Surgitech
Svcs, Services
Tail, Tailoring
Tailaring, Tailoring
Tas, TAS
Tba, TBA
Tdg, Trading
Text, Textiles
Textes, Textiles
Thl, THL
Tic, Ticaret
Tiloring, Tailoring
Tlrgstores, Tailoring Stores
Tmk, TMK
Tns, TNS
Totalfinaelf, Total Fina Elf
Trad, Trading
Tradcollc, Trading Company LLC
Tradg, Trading
Tradgest, Trading Establishment
Tranp, Transport
Trans, Transport BUT ONLY AT END OF A LINE
Trco, Trading Company
Trdcollc, Trading Company LLC
Trdest, Trading Establishment
Trdgest, Trading Establishment
Trdgroup, Trading Group
Trdi, Trading
Trt, TRT
Tt, T T
Uaq, UAQ
Ubs, UBS
Unb, UNB
Uop, UOP
Ups, UPS
Usl, USL
Uts, UTS
Vsl, VSL
Vstar, V Star
Vtti, VTTI
Wem, WEM
Wo, Workshop
Ws, WS
Wshop, Workshop
Wsm, WSM
Wsp, WSP
Www, WWW
Xlnc, XLNC
cma,CMA
cgm,CGM
i, I
kfc,KFC
it, IT
atm, ATM
jlt, JLT
id, ID
smb, SMB
DXB, Dubai
auh, AUH
uk, UK
sas,SAS
vip, VIP
hr, HR
us, US
usa, USA
ip, IP
sms, SMS
sim, SIM
vpn, VPN
fab, FAB
fgb, FGB
cctv, CCTV
ndc, NDC
acme, ACME
tv, TV
usb, UBS
gm, GM
ne, NE
uae, UAE
aed, AED
ss, SS
dhl, DHL
tnt, TNT
jw, JW
ibm, IBM
adcb, ADCB
adib, ADIB
mbc, MBC
itl, ITL
dib, DIB
att, AT and T
bmw, BMW
dr, Doctor
eng, Engineer
shj, Sharjah
sh, Sheikh
shk, Sheikh
intl, International
govt, Government
min, Ministry
mins, Ministry
minst, Ministry
po, Post Office
maf, Majid Al Futtaim
tec, Technical
tech, Technical
st, Saint
fuj, Al Fujairah
mr, Mister
elife, E Life
&, and
2nd, Second
GENL, General
hi, High
egov, E Government
govtof, Government of
maint, Maintenance
mant, Maintenance
elect, Electronic 
ajm, Ajman
rak, Ras Al Khaimah
uaq, Umm Al Quwain
equip, Equipment
mat, Material
engg, Engineering
ogs, OGS
me, Middle East
gsm, GSM
acar, a Car
abudhabi, Abu Dhabi
auth, Authority
jk, JK
icb, ICB
bam, BAM
ssi, SSI
Jewellry, Jewelry
rmb, RMB
DCAS, DCAS
Equipments, Equipments
SBJ, SBJ
Gtech, G Tech
FG, FG
BH, BH
NS,NS
KSK,KSK
ADC,ADC
JMN,JMN
TGP,TGP
MKA,MKA
SK,SK
Transort,Transportation
LAL,LAL
ZF,ZF
AKS,AKS
RNR,RNR
NBD,NBD
POS,POS
COSL,COSL
Butec, BU Tech
STG,STG
LYF,LYF
VVG,VVG
TNL,TNL
Ostep, O Step
SOC, SOC
Managment,Management
Mgmt, Management
IMBA,IMBA
XYZ,XYZ
TKD,TKD
NME,NME
ZS,ZS
FHK,FHK
ABS,ABS
PHR,PHR
MSV,MSV
NMDC,NMDC
QIG,QIG
MOI,MOI
MPLS,MPLS
ECS,ECS
VVF,VVF
AQME,AQME
DLL,DLL
CMS,CMS
GIQC,GIQC
GWP,GWP
AFC,AFC
RSH,RSH
RWL,RWL
LXE,LXE
AIM,AIM
ROC,ROC
FKG,FKG
MGC,MGC
CRC,CRC
Vtec, V Tech
TBS,TBS
ALMCO,ALMCO
EMKE,EMKE
VIN,VIN
FGI,FGI
CH,CH
CEPSA,CEPSA
BVA,BVA
BM,BM
NEC,NEC
ADB, ADB
BVBA,BVBA
ADOC,ADOC
DAS,DAS
MTU,MTU
TMC,TMC
VR,VR
AR, AR
IDC,IDC
RS,RS
RFM,RFM
DCS,DCS
ZM,ZM
Rest, Restaurant
MRF,MRF
MJ,MJ
CZC,CZC
HKO,HKO
AIMS,AIMS
readymade, Ready Made
ARA,ARA
OVM,OVM
FIJ,FIJ
ARC,ARC
AZ,AZ
ES,ES
CBRE,CBRE
CB,CB
SSIT,SSIT
QBE,QBE
TVM,TVM
ET,ET
Shaikha,Sheikha
ISCF,ISCF
MB,MB
PP,PP
TMJ,TMJ
ATMM,ATMM
YG,YG
OK,OK
TP,TP
MP,MP
ASSR,ASSR
GSL,GSL
KSP,KSP
MAK,MAK
CDR,CDR
HDR,HDR
DSR,DSR
JMS,JMS
KTL,KTL
LPA,LPA
AAA,AAA
NDT,NDT
DSR,DSR
IMI,IMI
BKC,BKC
LTA,LTA
MMJ,MMJ
AGM,AGM
CIC,CIC
DCS,DCS
SHL,SHL
JIU,JIU
LS,LS
OMV,OMV
CGL,CGL
CBRN,CBRN
Cafetria, Cafeteria
Cafetaria, Cafeteria
SNC,SNC
TS,TS
NMK,NMK
CMI,CMI
EO,EO
ICL,ICL
GCC,GCC
Enginering,Engineering
LOC,LOC
HAK,HAK
Buliding,Building
ITC,ITC
GEA,GEA
HSB,HSB
AM,AM
MOZ,MOZ
GIFL,GIFL
Machineries,Machinery
BS,BS
JIT,JIT
CSP,CSP
TACS,TACS
VAP,VAP
Jumeira, Jumeirah
TK,TK
KMK,KMK
HBZ,HBZ
AMS,AMS
MEP, MEP
MCL,MCL
KCI,KCI
HK,HK
JIN,JIN
RRT,RRT
ZXY,ZXY
ZTE,ZTE
NPL,NPL
SNP,SNP
PKF,PKF
WWT,WWT
SMKA,SMKA
SOS,SOS
GPC,GPC
WPPA,WPPA
SD,SD
SSP,SSP
KEO,KEO
USGP,USGP
KC,KC
KFC,KFC
AAW,AAW
ICC,ICC
AMOU,AMOU
DS,DS
SPC,SPC
MGC,MGC
TTC,TTC
DDY,DDY
CEM,CEM
QM,QM
BEL,BEL
AIG,AIG
EIC,EIC
DSGS,DSGS
DK,DK
FKS,FKS
RHL,RHL
FNI,FNI
CPG,CPG
ABSG,ABSG
JIC,JIC
AKL,AKL
ECS,ECS
GRC,GRC
GAC,GAC
ARIB,ARIB
EO,EO
ASPPEC,ASPPEC
FPB,FPB
CNBC,CNBC
HSS,HSS
EPC,EPC
GL,GL
DMCCA,DMCCA
BZ,BZ
RST,RST
IFGL,IFGL
KDS,KDS
LVMH,LVMH
NBD,NBD
AW,AW
WA,WA
TJ,TJ
ENH,ENH
CSA,CSA
TSSC,TSSC
FWMA,FWMA
ICLDC,ICLDC
TPH,TPH
MC,MC
Colour,Color
Facilites,Facilities
MC,MC
NPP,NPP
SK,SK
AE,AE
ABD,ABD
OSI,OSI
NBAD,NBAD
FK,FK
PF,PF
VHN,VHN
FVS,FVS
Restaurent,Restaurant
HDP,HDP
TRM,TRM
NTD,NTD
NMC,NMC
IFL,IFL
MS,MS
CGG,CGG
DCD,DCD
CEC,CEC
IVS,IVS
IAS,IAS
MSS,MSS
TMT,TMT
ADMC,ADMC
GPC,GPC
NFC,NFC
FGT,FGT
AST,AST
GN,GN
VXL,VXL
MGC,MGC
ZTCO,ZTCO
POM,POM
FBMI,FBMI
KAD,KAD
GPS,GPS
GWB,GWB
AJ,AJ
HMT,HMT
GCEC,GCEC
SP,SP
CSS,CSS
BBDO,BBDO
ASAS,ASAS
GSA,GSA
EFG,EFG
CKM,CKM
NHR,NHR
AYT,AYT
MIG,MIG
APV,APV
CMS,CMS
RYCX,RYCX
ADPPOC, ADPPOC
GC,GC
ESST,ESST
RMC,RMC
OMZ,OMZ
VTC,VTC
JAS,JAS
GRP,GRP
IDBI,IDBI
CFD,CFD
KBD,KBD
TBK,TBK
ELF,ELF
SFG,SFG
ETI,ETI
LF,LF
ARIC,ARIC
DE,DE
AKS,AKS
RUS,RUS
MPAC,MPAC
EPS,EPS
DLA,DLA
BM,BM
MSBM,MSBM
CGG,CGG
SRH,SRH
SCG,SCG
ISTA,ISTA
DMC,DMC
GLM,GLM
ABB,ABB
NBB,NBB
TMT,TMT
FAS,FAS
TCM,TCM
WBN,WBN
ZF,ZF
PDS,PDS
SE,SE
DFT,DFT
DMX,DMX
CME,CME
DHAS,DHAS
ZOE,ZOE
WMS,WMS
GG,GG
ITS,ITS
ANC,ANC
GOI,GOI
NMKP,NMKP
CSB,CSB
NOA,NOA
AWW,AWW
SK,SK
MC,MC
DB,DB
ASA,ASA
SBK,SBK
NEC,NEC
IPT,IPT
GCP,GCP
BWA,BWA
IVF,IVF
FYF,FYF
EDT,EDT
JTC,JTC
HOK,HOK
JFE,JFE
IAL,IAL
DSSC,DSSC
TSC,TSC
NG,NG
IGMA,IGMA
CAE,CAE
NGC,NGC
CWT,CWT
SML,SML
TVH,TVH
QAS,QAS
MBA,MBA
JC,JC
GB,GB
HCL,HCL
RAO,RAO
MCP,MCP
STX,STX
GHD,GHD
JSK,JSK
ROS,ROS
SP,SP
FSI,FSI
ABB,ABB
MCI,MCI
VAH,VAH
GSE,GSE
UFM,UFM
OSL,OSL
MMTN,MMTN
WJ,WJ
SMD,SMD
DP,DP
AJ,AJ
DIA,DIA
CFI,CFI
ASAS,ASAS
KGK,KGK
FJ,FJ
ACCL,ACCL
ERL,ERL
SAA,SAA
API,API
INBC,INBC
SK,SK
ATG,ATG
SACC,SACC
NOF,NOF
EPS,EPS
GT,GT
DCNS,DCNS
PTS,PTS
IFS,IFS
AIT,AIT
NNQ,NNQ
RAO,RAO